,HECO_MA-ES(mean),HECO_MA-ES(std),vMA-ESbm(mean),vMA-ESbm(std),t,eMAgES(mean),eMAgES(std),t,IUDE(mean),IUDE(std),t,CORCO(mean),CORCO(std),t,DeCODE(mean),DeCODE(std),t
0,1.57E-27,2.07E-28,4.22E-26,5.56E-27,=,3.98E-26,4.38E-27,=,1.31E-25,2.86E-25,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
1,4.04E-26,4.33E-27,4.02E-26,5.01E-27,=,3.98E-26,3.90E-27,=,8.19E-26,1.22E-25,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
2,4.30E-26,5.87E-27,4.33E-26,6.13E-27,=,4.43E-26,4.76E-27,=,***,***,+,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
3,0.00E+00,0.00E+00,1.20E+03,2.20E+02,+,2.51E+02,2.28E+01,+,2.84E+02,9.94E+00,+,5.99E+01,2.12E+01,+,7.99E+01,1.77E+01,+
4,2.64E+01,4.48E-01,3.67E+01,5.39E-01,+,2.69E+01,5.18E-01,+,6.39E-01,1.49E+00,-,2.80E+00,3.79E+00,-,8.61E-01,1.51E+00,-
5,1.20E+02,5.04E+01,3.56E+02,2.52E+02,+,8.06E+02,3.99E+02,+,***,***,+,7.00E+02,9.75E+01,+,1.51E+03,2.66E+02,+
6,-4.27E+03,5.49E+01,-3.17E+03,3.88E+02,=,-2.48E+03,7.89E+02,=,***,***,+,-2.30E+02,2.19E+02,=,-3.82E+01,2.53E+02,=
7,-4.60E-05,1.60E-06,-4.51E-05,1.11E-06,=,-4.55E-05,1.32E-06,=,8.33E-05,5.01E-05,+,1.70E-03,2.51E-04,+,1.91E-03,8.37E-04,+
8,4.17E-12,8.64E-12,1.17E-13,4.60E-13,=,***,***,+,3.33E-01,3.91E-01,+,0.00E+00,0.00E+00,=,3.45E-06,1.68E-05,=
9,-1.57E-05,7.55E-07,3.21E-05,1.19E-05,+,-1.16E-06,2.34E-06,=,3.68E-07,5.61E-06,+,4.75E-04,5.12E-05,+,***,***,+
10,-4.90E+00,6.50E-01,-5.18E+00,1.12E+00,=,***,***,+,***,***,+,***,***,+,***,***,+
11,3.16E+01,1.42E-04,2.39E+01,8.01E+00,-,3.01E+01,4.22E+00,=,1.47E+01,9.43E+00,-,***,***,+,2.35E+01,7.90E+00,-
12,4.06E+01,1.11E+00,5.32E+01,5.71E+00,+,4.14E+01,1.39E+00,+,1.91E+02,3.39E+01,+,***,***,+,3.85E+01,6.78E-01,-
13,7.84E-01,4.81E-07,7.84E-01,7.33E-06,=,9.58E-01,2.68E-02,+,7.88E-01,6.86E-03,+,1.09E+00,9.31E-02,+,1.02E+00,1.51E-01,+
14,2.49E+00,6.41E-01,3.86E+00,2.42E+00,+,***,***,+,1.56E+01,1.28E+00,+,1.52E+01,3.50E+00,+,1.22E+01,1.04E+00,+
15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,9.44E+01,8.48E+00,+,0.00E+00,0.00E+00,=,6.28E+00,1.60E-05,+
16,3.57E+01,7.44E-03,3.64E+01,3.70E-03,+,3.64E+01,3.50E-06,+,5.89E+02,1.35E+02,+,1.11E+03,1.20E+02,+,1.88E+05,2.21E+04,+
17,4.77E+00,7.65E-01,3.54E+01,7.52E-01,+,3.54E+01,7.25E-01,+,1.72E+01,3.61E-01,+,7.78E+00,5.97E-01,+,8.58E+00,1.10E+00,+
18,3.06E+01,3.81E+00,2.88E+01,6.67E+00,=,3.16E+01,5.61E-14,=,7.97E+00,4.95E+00,-,1.03E+03,1.68E+02,+,7.87E+00,7.82E+00,-
19,3.78E+01,4.70E-01,9.45E+02,1.20E+03,+,4.23E+03,1.04E+03,+,5.37E+04,1.90E+04,+,7.01E+02,9.05E+02,+,3.01E+02,2.35E+02,+
20,7.84E-01,8.15E-07,8.23E-01,3.39E-02,+,9.67E-01,1.79E-02,+,7.99E-01,1.15E-02,+,8.75E-01,1.43E-01,+,9.81E-01,1.59E-01,+
21,2.49E+00,6.41E-01,5.12E+00,1.88E+00,+,9.39E+00,4.99E+00,+,1.57E+01,1.64E+00,+,2.61E+00,8.70E-01,=,5.87E+00,1.04E+00,+
22,1.33E-108,1.57E-108,8.17E-01,4.08E+00,=,4.24E-14,1.30E-13,=,2.89E+02,2.70E+01,+,2.10E+01,2.20E+01,+,4.28E+01,1.88E+01,+
23,3.57E+01,7.73E-03,3.65E+01,1.59E-01,+,7.68E+01,2.02E+02,+,1.43E+03,1.25E+02,+,1.16E+03,9.08E+01,+,6.55E+05,8.76E+04,+
