,HECO_MA-ES(mean),HECO_MA-ES(std),vMA-ESbm(mean),vMA-ESbm(std),t,eMAgES(mean),eMAgES(std),t,IUDE(mean),IUDE(std),t,CORCO(mean),CORCO(std),t,DeCODE(mean),DeCODE(std),t
0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,1.65E-30,7.58E-30,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,4.73E-31,1.73E-30,=,7.31E+01,5.87E+00,+,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
3,0.00E+00,0.00E+00,1.75E+01,2.03E+00,+,2.98E+01,1.76E+01,+,2.44E+01,8.37E+00,+,1.36E+01,0.00E+00,+,1.36E+01,0.00E+00,+
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,1.59E-01,7.97E-01,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
5,0.00E+00,0.00E+00,5.08E+00,1.76E+01,=,3.58E+01,3.82E+01,+,***,***,+,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
6,-4.22E+02,1.33E+01,-4.02E+02,3.77E+01,=,-3.17E+02,8.32E+01,=,***,***,+,9.54E+00,9.13E+01,+,***,***,+
7,-1.35E-03,3.42E-09,-1.35E-03,3.39E-10,=,-1.35E-03,0.00E+00,=,-1.35E-03,0.00E+00,=,-1.35E-03,0.00E+00,=,-1.35E-03,0.00E+00,=
8,-4.98E-03,1.00E-08,-4.98E-03,9.18E-11,=,-4.98E-03,0.00E+00,=,-4.98E-03,0.00E+00,=,***,***,+,-4.98E-03,0.00E+00,=
9,-5.10E-04,1.84E-09,-5.10E-04,7.27E-12,=,-5.10E-04,0.00E+00,=,-5.10E-04,0.00E+00,=,-5.10E-04,0.00E+00,=,-5.10E-04,0.00E+00,=
10,-1.69E-01,2.42E-06,-1.69E-01,3.79E-07,=,-1.68E-01,5.13E-03,=,***,***,+,***,***,+,-2.05E+00,2.05E-01,=
11,3.99E+00,3.63E-06,3.99E+00,1.38E-03,=,7.00E+00,7.03E+00,+,3.99E+00,1.99E-15,=,4.93E+00,2.82E-01,+,3.99E+00,2.18E-05,=
12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,1.59E-01,7.97E-01,=,3.19E-01,1.10E+00,=,0.00E+00,0.00E+00,=,1.59E-01,7.97E-01,=
13,2.38E+00,2.37E-06,2.38E+00,1.36E-11,=,***,***,+,2.47E+00,1.77E-01,+,3.17E+00,3.07E-01,+,2.38E+00,0.00E+00,=
14,2.36E+00,1.84E-07,2.36E+00,2.95E-05,=,***,***,+,***,***,+,***,***,+,2.36E+00,6.84E-06,=
15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,6.09E+00,9.42E-01,+,0.00E+00,0.00E+00,=,1.76E+00,9.42E-01,+
16,3.58E+01,1.97E-04,3.66E+01,3.66E-05,+,3.66E+01,1.65E-05,+,9.96E+01,8.68E+01,+,3.19E-01,3.60E-01,+,7.04E+03,3.37E+03,+
17,3.62E-01,8.61E-02,7.03E-01,3.80E-01,+,1.17E+00,3.93E-01,+,1.50E+00,4.20E-01,+,4.69E-01,1.13E-01,+,5.07E-01,2.03E-01,+
18,3.99E+00,3.11E-06,5.17E+00,4.24E+00,=,4.41E+00,2.12E+00,=,4.41E+00,2.12E+00,=,2.67E+01,1.29E+01,+,3.99E+00,0.00E+00,=
19,6.20E-30,1.31E-31,5.17E-27,1.38E-27,=,6.38E-01,1.49E+00,+,5.31E+00,1.72E+01,=,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=
20,2.38E+00,3.77E-06,2.38E+00,6.62E-12,=,2.50E+00,3.27E-01,+,2.47E+00,1.86E-01,+,4.56E+00,4.94E+00,+,2.64E+00,5.47E-01,+
21,2.36E+00,2.52E-07,2.48E+00,6.28E-01,=,6.13E+00,2.22E+00,+,5.50E+00,1.57E+00,+,2.30E+00,1.83E-02,+,2.36E+00,7.80E-06,=
22,5.81E-288,0.00E+00,0.00E+00,0.00E+00,=,0.00E+00,0.00E+00,=,6.28E+00,9.06E-16,+,0.00E+00,0.00E+00,=,3.27E+00,2.31E+00,+
23,3.58E+01,2.51E-04,3.66E+01,1.06E-05,+,7.59E+01,1.37E+02,=,1.36E+02,1.24E+02,+,1.46E+01,1.57E+01,+,1.98E+04,9.70E+03,+
